Method,LOC,V,v(G),MI
org.apache.commons.configuration2.AbstractConfiguration.setConfigurationDecoder(ConfigurationDecoder),12,11,1,69.03243091
org.apache.commons.configuration2.AbstractConfiguration.setConversionHandler(ConversionHandler),24,41,2,58.33038199
org.apache.commons.configuration2.AbstractConfiguration.setDefaultLookups(Collection<? extends Lookup>),39,178,4,48.99709174
org.apache.commons.configuration2.AbstractConfiguration.setInterpolator(ConfigurationInterpolator),12,15,1,68.08926972
org.apache.commons.configuration2.AbstractConfiguration.setListDelimiterHandler(ListDelimiterHandler),35,41,2,54.75601559
org.apache.commons.configuration2.AbstractConfiguration.setLogger(ConfigurationLogger),15,8,1,67.88683668
org.apache.commons.configuration2.AbstractConfiguration.setParentInterpolator(ConfigurationInterpolator),23,85,3,56.3819925
"org.apache.commons.configuration2.AbstractConfiguration.setPrefixLookups(Map<String, ? extends Lookup>)",29,91,3,53.9785603
"org.apache.commons.configuration2.AbstractConfiguration.setProperty(String,Object)",15,79,1,60.9230748
"org.apache.commons.configuration2.AbstractConfiguration.setPropertyInternal(String,Object)",24,44,1,58.25014143
org.apache.commons.configuration2.AbstractConfiguration.setSynchronizer(Synchronizer),14,15,1,66.62889486
org.apache.commons.configuration2.AbstractConfiguration.setThrowExceptionOnMissing(boolean),15,15,1,65.97527819
org.apache.commons.configuration2.AbstractConfiguration.size(),17,33,1,62.39187398
org.apache.commons.configuration2.AbstractConfiguration.sizeInternal(),18,48,2,60.57645162
org.apache.commons.configuration2.AbstractConfiguration.subset(String),5,15,1,76.38318408
org.apache.commons.configuration2.AbstractConfiguration.throwMissingPropertyException(String),11,24,1,67.48433723
org.apache.commons.configuration2.AbstractConfiguration.unlock(LockMode),23,76,4,56.58782476
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.AbstractHierarchicalConfiguration(NodeModel<T>),10,4,1,73.83590106
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.DefinedKeysVisitor.DefinedKeysVisitor(),8,10,1,73.16351143
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.DefinedKeysVisitor.DefinedKeysVisitor(String),11,15,1,68.91358803
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.DefinedKeysVisitor.getKeyList(),9,4,1,74.83405332
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.DefinedKeysVisitor.handleAttributeKeys(String,T,NodeHandler<T>)",15,43,2,62.63821412
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.DefinedKeysVisitor.visitAfterChildren(T,NodeHandler<T>)",9,8,1,72.72623733
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.DefinedKeysVisitor.visitBeforeChildren(T,NodeHandler<T>)",17,118,3,58.24817765
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.DefinedVisitor.isDefined(),9,8,1,72.72623733
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.DefinedVisitor.terminate(),11,8,1,70.82514653
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.DefinedVisitor.visitBeforeChildren(T,NodeHandler<T>)",12,50,2,64.29356295
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.addNodes(String,Collection<? extends T>)",36,131,3,50.82220299
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.addNodesInternal(String,Collection<? extends T>)",14,24,1,65.19964406
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.addPropertyDirect(String,Object)",13,15,1,67.33097039
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.addPropertyInternal(String,Object)",13,19,1,66.61212732
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.addPropertyToModel(String,Iterable<?>)",10,19,1,69.09768351
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.clearInternal(),9,11,1,71.75784002
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.clearPropertyDirect(String),13,15,1,67.33097039
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.clearTree(String),23,78,1,56.91234374
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.clearTreeInternal(String),16,15,1,65.36386062
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.clone(),33,126,2,51.8993635
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.containsKeyInternal(String),15,19,1,65.25643512
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.fetchNodeList(String),11,26,1,67.2409325
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.getExpressionEngine(),14,18,2,65.93996381
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.getKeysInternal(),12,11,1,69.03243091
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.getKeysInternal(String),35,185,5,49.77047434
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.getMaxIndex(String),23,38,1,59.09914952
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.getMaxIndexInternal(String),13,24,1,65.90171959
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.getModel(),13,4,1,71.35034487
