Method,LOC,V,v(G),MI
org.apache.commons.configuration2.builder.combined.MultiFileBuilderParametersImpl.setFilePattern(String),6,11,1,75.59908841
org.apache.commons.configuration2.builder.combined.MultiFileBuilderParametersImpl.setManagedBuilderParameters(BuilderParameters),7,11,1,74.13871355
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.MultiFileConfigurationBuilder(Class<? extends T>),11,11,1,69.85674922
"org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.MultiFileConfigurationBuilder(Class<? extends T>,Map<String, Object>)",13,15,1,67.33097039
"org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.MultiFileConfigurationBuilder(Class<? extends T>,Map<String, Object>,boolean)",16,24,1,63.93460981
"org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.addEventListener(EventType<E>,EventListener<? super E>)",21,92,3,57.00317889
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.configure(BuilderParameters...),9,15,1,70.81467883
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.constructFileName(MultiFileBuilderParametersImpl),15,24,1,64.54602738
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.createEventWithChangedSource(ConfigurationBuilderEvent),28,77,2,54.95350804
"org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.createInitializedManagedBuilder(String,Map<String, Object>)",21,34,1,60.29921742
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.createInterpolator(),18,15,1,64.24802133
"org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.createManagedBuilder(String,Map<String, Object>)",21,19,1,62.0688034
"org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.createManagedBuilderParameters(Map<String, Object>,MultiFileBuilderParametersImpl)",27,87,2,54.92673717
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.fetchFileName(MultiFileBuilderParametersImpl),32,116,3,52.30784174
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.getConfiguration(),11,11,1,69.85674922
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.getInterpolator(),28,102,3,53.96399316
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.getManagedBuilder(),44,206,4,47.41004202
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.getManagedBuilders(),12,4,1,72.10864421
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.handleManagedBuilderEvent(ConfigurationBuilderEvent),18,41,2,61.0557911
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.initListeners(FileBasedConfigurationBuilder<T>),15,26,1,64.30262266
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.isEventTypeForManagedBuilders(EventType<?>),15,24,1,64.54602738
"org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.removeEventListener(EventType<E>,EventListener<? super E>)",20,108,3,56.97780982
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder.resetParameters(),16,68,2,60.63311265
"org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilderProvider.MultiFileConfigurationBuilderProvider(String,String)",15,28,1,64.07726508
"org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilderProvider.ReloadableWrapperBuilder.ReloadableWrapperBuilder(Configuration,ConfigurationBuilder<? extends Configuration>)",13,22,1,66.16631559
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilderProvider.ReloadableWrapperBuilder.getReloadingController(),5,8,1,78.29474257
"org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilderProvider.WrapperBuilder.WrapperBuilder(Configuration,ConfigurationBuilder<? extends Configuration>)",12,15,1,68.08926972
"org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilderProvider.WrapperBuilder.addEventListener(EventType<T>,EventListener<? super T>)",6,24,1,73.22667642
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilderProvider.WrapperBuilder.getConfiguration(),5,8,1,78.29474257
"org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilderProvider.WrapperBuilder.removeEventListener(EventType<T>,EventListener<? super T>)",6,28,1,72.75791412
"org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilderProvider.createWrapperBuilder(ConfigurationBuilder<? extends Configuration>,Configuration)",25,53,2,57.16297876
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilderProvider.createWrapperConfiguration(ConfigurationBuilder),23,55,2,57.84026967
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilderProvider.getConfigurationBuilder(ConfigurationDeclaration),13,44,1,64.0584996
org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean.MultiWrapDynaBean(Collection<?>),27,140,4,53.2110539
"org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean.contains(String,String)",11,11,1,69.85674922
org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean.createDynaBean(Object),14,28,2,64.59637883
org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean.fetchBean(String),17,53,2,60.81662332
org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean.get(String),5,13,1,76.81834454
"org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean.get(String,String)",5,18,1,75.82875595
"org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean.get(String,int)",5,22,1,75.21852928
org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean.getDynaClass(),9,4,1,74.83405332
"org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean.remove(String,String)",11,11,1,69.85674922
"org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean.set(String,Object)",5,18,1,75.82875595
"org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean.set(String,String,Object)",5,22,1,75.21852928
"org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean.set(String,int,Object)",5,26,1,74.71052855
org.apache.commons.configuration2.builder.combined.MultiWrapDynaClass.MultiWrapDynaClass(Collection<? extends DynaClass>),12,22,1,66.92461492
org.apache.commons.configuration2.builder.combined.MultiWrapDynaClass.getDynaProperties(),5,11,1,77.32634526
org.apache.commons.configuration2.builder.combined.MultiWrapDynaClass.getDynaProperty(String),5,11,1,77.32634526
org.apache.commons.configuration2.builder.combined.MultiWrapDynaClass.getName(),8,4,1,75.9498926
org.apache.commons.configuration2.builder.combined.MultiWrapDynaClass.initProperties(Collection<? extends DynaClass>),17,64,3,60.10862678
org.apache.commons.configuration2.builder.combined.MultiWrapDynaClass.newInstance(),11,11,1,69.85674922
org.apache.commons.configuration2.builder.combined.ReloadingCombinedConfigurationBuilder.ReloadingCombinedConfigurationBuilder(),8,4,1,75.9498926
"org.apache.commons.configuration2.builder.combined.ReloadingCombinedConfigurationBuilder.ReloadingCombinedConfigurationBuilder(Map<String, Object>)",10,8,1,71.72808507
"org.apache.commons.configuration2.builder.combined.ReloadingCombinedConfigurationBuilder.ReloadingCombinedConfigurationBuilder(Map<String, Object>,boolean)",13,15,1,67.33097039
org.apache.commons.configuration2.builder.combined.ReloadingCombinedConfigurationBuilder.configure(BuilderParameters...),9,15,1,70.81467883
org.apache.commons.configuration2.builder.combined.ReloadingCombinedConfigurationBuilder.createReloadingController(),26,76,2,55.69533492
org.apache.commons.configuration2.builder.combined.ReloadingCombinedConfigurationBuilder.createXMLDefinitionBuilder(BuilderParameters),11,19,1,68.19474496
org.apache.commons.configuration2.builder.combined.ReloadingCombinedConfigurationBuilder.getConfiguration(),14,24,1,65.19964406
org.apache.commons.configuration2.builder.combined.ReloadingCombinedConfigurationBuilder.getReloadingController(),15,8,1,67.88683668
org.apache.commons.configuration2.builder.combined.ReloadingCombinedConfigurationBuilder.initResultInstance(CombinedConfiguration),16,41,2,62.17163038
"org.apache.commons.configuration2.builder.combined.ReloadingCombinedConfigurationBuilder.obtainReloadingController(Collection<ReloadingController>,Object)",16,31,2,63.02182996
org.apache.commons.configuration2.builder.combined.ReloadingMultiFileConfigurationBuilder.ReloadingMultiFileConfigurationBuilder(Class<T>),11,8,1,70.82514653
"org.apache.commons.configuration2.builder.combined.ReloadingMultiFileConfigurationBuilder.ReloadingMultiFileConfigurationBuilder(Class<T>,Map<String, Object>)",13,11,1,68.27413157
"org.apache.commons.configuration2.builder.combined.ReloadingMultiFileConfigurationBuilder.ReloadingMultiFileConfigurationBuilder(Class<T>,Map<String, Object>,boolean)",16,19,1,64.64501755
"org.apache.commons.configuration2.builder.combined.ReloadingMultiFileConfigurationBuilder.createManagedBuilder(String,Map<String, Object>)",12,19,1,67.37042666
org.apache.commons.configuration2.builder.combined.ReloadingMultiFileConfigurationBuilder.createReloadingController(),14,74,2,61.64101332
org.apache.commons.configuration2.builder.combined.ReloadingMultiFileConfigurationBuilder.getReloadingController(),10,4,1,73.83590106
"org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.checkAllowFailOnInit(boolean,String...)",23,107,2,55.81654021
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.checkBuilder(boolean),28,190,1,52.34138115
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.createDeclaration(HierarchicalConfiguration<?>),5,68,2,71.65243611
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.createProvider(),13,31,1,65.12344266
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.setUpConfig(boolean),21,125,1,56.34006145
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.testGetBuilderAllowFailOnInit(),10,19,1,69.09768351
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.testGetBuilderAllowFailOnInitNotOptional(),10,15,1,69.81652658
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.testGetBuilderNoFailOnInit(),9,11,1,71.75784002
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.testGetBuilderNotReloading(),11,38,1,66.08692898
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.testGetBuilderReloading(),12,38,1,65.26261067
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.testGetParameterClassesModify(),13,49,1,63.73120167
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.testGetReloadingBuilderNotSupported(),18,78,1,59.2345565
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.testInitNoBuilderClass(),9,23,1,69.51484908
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.testInitNoConfigurationClass(),9,23,1,69.51484908
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider.testInitNoParameterClasses(),14,48,1,63.09182807
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.createDefaultsHandlerMock(),12,19,1,67.37042666
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testClone(),25,173,1,53.70005576
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testFromParametersCreate(),13,41,1,64.27324308
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testFromParametersExisting(),11,31,1,66.7060603
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testFromParametersNotFound(),10,15,1,69.81652658
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testGetChildDefaultParametersManagerSpecific(),16,66,1,60.85839652
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testGetChildDefaultParametersManagerUndefined(),12,19,1,67.37042666
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testGetParametersInherited(),13,51,1,63.60954802
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testGetProvidersInitial(),9,24,1,69.38542803
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testGetProvidersModify(),10,31,1,67.60899885
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testInheritFrom(),22,159,1,55.16772538
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testInheritFromNoParametersInMap(),16,72,1,60.59380052
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testProviderForUnknown(),9,24,1,69.38542803
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testRegisterChildDefaultsHandler(),19,100,1,57.96678571
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testRegisterChildDefaultsHandlerWithStartClass(),22,108,1,56.34387712
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testRegisterMissingProviders(),27,242,1,51.95027286
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testRegisterMissingProvidersNullEntry(),11,34,1,66.42515898
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testRegisterMissingProvidersNullMap(),9,19,1,70.09583576
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testRegisterMissingProvidersParams(),29,239,1,51.31122637
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testRegisterMissingProvidersParamsNull(),9,15,1,70.81467883
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testRegisterProvider(),20,153,1,56.18763741
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testRegisterProviderNoProvider(),8,19,1,71.21167505
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testRegisterProviderNoTag(),9,22,1,69.65002403
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testSetBasePath(),12,59,1,63.92474711
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testSetBeanProperties(),20,155,1,56.14814419
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testSetDefinitionBuilder(),15,74,1,61.12189957
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testSetDefinitionBuilderParameters(),16,66,1,60.85839652
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl.testSetInheritSettings(),12,62,1,63.77392601
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.BuilderProviderTestImpl.getConfigurationBuilder(ConfigurationDeclaration),9,34,1,68.32624978
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.BuilderProviderTestImpl.getPropertyKey(),4,4,1,82.5165501
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.BuilderProviderTestImpl.setPropertyKey(String),4,11,1,79.4403368
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.ConstantConfigurationBuilder.ConstantConfigurationBuilder(BaseHierarchicalConfiguration),5,15,1,76.38318408
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.ConstantConfigurationBuilder.getConfiguration(),6,8,1,76.56748572
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.EntityResolverWithPropertiesTestImpl.getBaseDir(),4,4,1,82.5165501
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.EntityResolverWithPropertiesTestImpl.getFileSystem(),4,4,1,82.5165501
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.EntityResolverWithPropertiesTestImpl.getInterpolator(),4,4,1,82.5165501
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.EntityResolverWithPropertiesTestImpl.setBaseDir(String),6,18,1,74.1014991
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.EntityResolverWithPropertiesTestImpl.setFileSystem(FileSystem),6,22,1,73.49127242
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.EntityResolverWithPropertiesTestImpl.setInterpolator(ConfigurationInterpolator),6,22,1,73.49127242
"org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.ReadThread.ReadThread(CombinedConfiguration,CountDownLatch)",5,11,1,77.32634526
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.ReadThread.run(),13,33,2,64.79881935
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.ReadThread.verify(),15,48,2,62.30370847
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.TestLookup.TestLookup(),6,41,1,71.59819991
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.TestLookup.lookup(String),5,11,1,77.32634526
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.checkCombinedConfigAttrs(CombinedConfiguration),14,60,1,62.41326289
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.checkConfiguration(),27,162,1,53.17072621
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.checkFileSystem(File),19,112,1,57.62216047
"org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.checkMultiFile(String,CombinedConfiguration,int)",14,38,1,63.80223581
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.checkProperties(Configuration),15,70,1,61.29088391
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.createDefinitionBuilder(BaseHierarchicalConfiguration),12,15,1,68.08926972
"org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.createDefinitionConfig(String,Map<String, Object>)",22,83,2,57.01002403
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.createMultiFileConfig(String),19,66,1,59.23034145
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.createParameters(),9,8,1,72.72623733
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.prepareParamsForInheritanceTest(Parameters),15,83,1,60.77287461
"org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.prepareSubBuilderTest(Map<String, Object>)",22,95,1,56.7338903
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.setUp(),10,59,1,65.65200397
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.switchToMultiFile(String),10,15,1,69.81652658
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.tearDown(),5,15,1,76.38318408
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testBasePathForChildConfigurations(),18,126,1,57.77620562
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testBuilderNames(),15,126,1,59.50346247
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testBuilderNamesBeforeConfigurationAccess(),12,60,1,63.87363775
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testBuilderNamesManipulate(),12,60,1,63.87363775
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testChildBuildersAreInitializedOnlyOnce(),16,89,1,59.94921262
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testCombinedConfigurationAttributes(),20,76,1,58.31539403
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testCombinedConfigurationListNodes(),24,201,1,53.63060961
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testCombinedConfigurationNoAdditional(),15,57,1,61.91562582
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testConcurrentReadAccessWithoutSynchronizer(),25,185,3,53.2271119
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testConfigurationBuilderProvider(),20,101,1,57.45059092
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testConfigurationBuilderProviderInheritBasePath(),20,120,1,56.92642111
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testConfigurationBuilderProviderInheritBasicProperties(),26,193,1,52.99581702
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testConfigurationBuilderProviderInheritCustomProviders(),18,81,1,59.1197906
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testConfigurationBuilderProviderInheritEventListeners(),33,312,1,49.27658534
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testConfigureEntityResolverWithProperties(),23,162,1,54.68976185
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testConfigureResult(),10,36,1,67.15428246
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testCustomBuilderProvider(),8,262,1,63.23254714
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testCustomEntityResolver(),19,102,1,57.9065672
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testCustomFileSystem(),9,15,1,70.81467883
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testCustomFileSystemForSubConfig(),11,15,1,68.91358803
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testCustomLookup(),17,131,1,58.1993671
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testCustomResultConfiguration(),21,173,1,55.35182469
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testDefaultBasePathFromDefinitionBuilder(),24,143,1,54.66592741
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testDefaultBasePathInParameters(),19,126,1,57.26398984
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testEnvironmentProperties(),18,139,2,57.34310706
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testGetChildBuilders(),13,72,1,62.56091029
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testGetNamedBuilder(),17,95,1,59.17648187
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testGetNamedBuilderBeforeConfigurationAccess(),12,41,1,65.03154241
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testGetNamedBuilderUnknown(),11,50,1,65.25238418
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testINIConfiguration(),17,84,1,59.55069969
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testInheritProperties(),20,213,1,55.18153094
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testInitChildBuilderParametersDefaultChildProperties(),46,411,1,45.29200273
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testInterpolationOverMultipleSources(),24,179,1,53.98311214
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testJndiConfiguration(),16,79,1,60.31165723
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testLoadAdditional(),43,425,1,45.82906108
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testLoadConfiguration(),10,28,1,67.91851347
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testLoadOptional(),15,89,1,60.56063019
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testLoadOptionalForceCreate(),24,226,1,53.27412044
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testLoadOptionalWithException(),15,46,1,62.56763244
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testMultiTenentConfiguration(),13,82,1,62.16542709
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testMultiTenentConfigurationProperties(),21,123,1,56.38910986
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testMultiTenentConfigurationReloading(),60,680,4,40.84019622
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testNoDefinitionBuilder(),8,15,1,71.93051812
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testProviderInDefinitionConfig(),12,62,1,63.77392601
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testReactOnSubBuilderChange(),17,70,1,60.10512782
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testReloadingBuilder(),14,72,1,61.85883476
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testRemoveSubBuilderListener(),23,129,1,55.38243813
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testResetBuilder(),20,125,1,56.80228406
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testRootNodeInitializedAfterCreation(),14,62,1,62.31355115
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testSuppressChildBuilderPropertyInheritance(),18,125,1,57.80043631
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.testSystemProperties(),17,96,1,59.14463932
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilderVFS.createParameters(),10,19,1,69.09768351
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilderVFS.testSetConfigurationBasePath(),22,191,1,54.61011136
org.apache.commons.configuration2.builder.combined.TestConfigurationDeclaration.checkOldReservedAttribute(String),22,180,1,54.79048926
org.apache.commons.configuration2.builder.combined.TestConfigurationDeclaration.createDeclaration(HierarchicalConfiguration<?>),14,33,2,64.09674382
org.apache.commons.configuration2.builder.combined.TestConfigurationDeclaration.testConfigurationDeclarationGetAttributes(),35,527,1,47.12509857
org.apache.commons.configuration2.builder.combined.TestConfigurationDeclaration.testConfigurationDeclarationIsReserved(),13,96,1,61.68608761
org.apache.commons.configuration2.builder.combined.TestConfigurationDeclaration.testConfigurationDeclarationIsReservedAt(),8,8,1,73.84207661
org.apache.commons.configuration2.builder.combined.TestConfigurationDeclaration.testConfigurationDeclarationIsReservedOptional(),9,8,1,72.72623733
org.apache.commons.configuration2.builder.combined.TestConfigurationDeclaration.testConfigurationDeclarationOptionalAttributeInvalid(),13,72,1,62.56091029
org.apache.commons.configuration2.builder.combined.TestFileExtensionConfigurationBuilderProvider.setUpDecl(),12,18,1,67.5348416
org.apache.commons.configuration2.builder.combined.TestFileExtensionConfigurationBuilderProvider.setUpProvider(),13,41,1,64.27324308
org.apache.commons.configuration2.builder.combined.TestFileExtensionConfigurationBuilderProvider.testDetermineConfigurationClassExtensionMatch(),19,75,1,58.84160839
org.apache.commons.configuration2.builder.combined.TestFileExtensionConfigurationBuilderProvider.testDetermineConfigurationClassExtensionNoMatch(),19,64,1,59.32391608
org.apache.commons.configuration2.builder.combined.TestFileExtensionConfigurationBuilderProvider.testDetermineConfigurationClassMatchCase(),19,86,1,58.42542842
org.apache.commons.configuration2.builder.combined.TestFileExtensionConfigurationBuilderProvider.testDetermineConfigurationClassNoExtension(),19,64,1,59.32391608
org.apache.commons.configuration2.builder.combined.TestFileExtensionConfigurationBuilderProvider.testDetermineConfigurationClassNoParams(),14,43,1,63.42633372
org.apache.commons.configuration2.builder.combined.TestFileExtensionConfigurationBuilderProvider.testDeterminieConfigurationClassNoFileName(),17,53,1,60.95112624
org.apache.commons.configuration2.builder.combined.TestFileExtensionConfigurationBuilderProvider.testInitNoDefaultConfigClass(),10,33,1,67.41887846
org.apache.commons.configuration2.builder.combined.TestFileExtensionConfigurationBuilderProvider.testInitNoExt(),10,33,1,67.41887846
org.apache.commons.configuration2.builder.combined.TestFileExtensionConfigurationBuilderProvider.testInitNoMatchingConfigClass(),10,33,1,67.41887846
org.apache.commons.configuration2.builder.combined.TestFileExtensionConfigurationBuilderProvider.testInitSuper(),20,114,1,57.08240072
org.apache.commons.configuration2.builder.combined.TestMultiFileBuilderParametersImpl.setUp(),5,11,1,77.32634526
org.apache.commons.configuration2.builder.combined.TestMultiFileBuilderParametersImpl.testBeanProperties(),22,204,1,54.40987619
org.apache.commons.configuration2.builder.combined.TestMultiFileBuilderParametersImpl.testClone(),23,153,1,54.86357691
org.apache.commons.configuration2.builder.combined.TestMultiFileBuilderParametersImpl.testFromParametersFound(),10,31,1,67.60899885
