Metric#5,,
,,
Class,LOC,V
org.apache.commons.configuration2.builder.BuilderConfigurationWrapperFactory.EventSourceSupport,40,2
org.apache.commons.configuration2.builder.BuilderEventListenerImpl,65,255
org.apache.commons.configuration2.builder.ConfigurationBuilderEvent,64,134
org.apache.commons.configuration2.builder.ConfigurationBuilderResultCreatedEvent,66,140
org.apache.commons.configuration2.builder.CopyObjectDefaultHandler,85,156
org.apache.commons.configuration2.builder.DatabaseBuilderParametersImpl,77,407
org.apache.commons.configuration2.builder.DefaultParametersManager,174,753
org.apache.commons.configuration2.builder.DefaultParametersManager.DefaultHandlerData,65,267
org.apache.commons.configuration2.builder.DefaultReloadingDetectorFactory,28,89
org.apache.commons.configuration2.builder.EventListenerParameters,86,134
org.apache.commons.configuration2.builder.FileBasedBuilderParametersImpl,276,"1,487"
org.apache.commons.configuration2.builder.FileBasedConfigurationBuilder,342,"1,777"
org.apache.commons.configuration2.builder.HierarchicalBuilderParametersImpl,40,100
org.apache.commons.configuration2.builder.INIBuilderParametersImpl,51,222
org.apache.commons.configuration2.builder.JndiBuilderParametersImpl,40,104
org.apache.commons.configuration2.builder.ParametersBeanTestImpl,40,171
org.apache.commons.configuration2.builder.PropertiesBuilderParametersImpl,59,230
org.apache.commons.configuration2.builder.ReloadingBuilderSupportListener,85,208
org.apache.commons.configuration2.builder.ReloadingFileBasedConfigurationBuilder,213,690
org.apache.commons.configuration2.builder.TestAutoSaveListener,124,686
org.apache.commons.configuration2.builder.TestBasicBuilderParameters,514,"6,423"
org.apache.commons.configuration2.builder.TestBasicConfigurationBuilder,516,"6,148"
org.apache.commons.configuration2.builder.TestBasicConfigurationBuilder.AccessBuilderThread,46,164
org.apache.commons.configuration2.builder.TestBasicConfigurationBuilder.BasicConfigurationBuilderInitFailImpl,21,77
org.apache.commons.configuration2.builder.TestBasicConfigurationBuilder.InitializableConfiguration,24,53
org.apache.commons.configuration2.builder.TestBasicConfigurationBuilderEvents,182,"1,164"
org.apache.commons.configuration2.builder.TestBuilderConfigurationWrapperFactory,178,"1,413"
