Complexity metrics,Sun, 16 Jun 2019 17:13:20 EDT
Method,ev(G),iv(G),v(G)
"org.apache.commons.collections4.ClosureUtilsTest.MockTransformer.transform(T)",1,1,1
"org.apache.commons.collections4.ClosureUtilsTest.testChainedClosure()",1,1,6
"org.apache.commons.collections4.ClosureUtilsTest.testDoWhileClosure()",1,1,2
"org.apache.commons.collections4.ClosureUtilsTest.testExceptionClosure()",1,2,3
"org.apache.commons.collections4.ClosureUtilsTest.testForClosure()",1,1,1
"org.apache.commons.collections4.ClosureUtilsTest.testIfClosure()",1,1,1
"org.apache.commons.collections4.ClosureUtilsTest.testInvokeClosure()",1,1,1
"org.apache.commons.collections4.ClosureUtilsTest.testNopClosure()",1,1,1
"org.apache.commons.collections4.ClosureUtilsTest.testSingletonPatternInSerialization()",1,2,2
"org.apache.commons.collections4.ClosureUtilsTest.testSwitchClosure()",1,1,6
"org.apache.commons.collections4.ClosureUtilsTest.testSwitchMapClosure()",1,1,2
"org.apache.commons.collections4.ClosureUtilsTest.testTransformerClosure()",1,1,1
"org.apache.commons.collections4.ClosureUtilsTest.testWhileClosure()",1,1,4
"org.apache.commons.collections4.CollectionUtils.CardinalityHelper.CardinalityHelper(Iterable<? extends O>,Iterable<? extends O>)",1,1,1
"org.apache.commons.collections4.CollectionUtils.CardinalityHelper.freqA(Object)",1,1,1
"org.apache.commons.collections4.CollectionUtils.CardinalityHelper.freqB(Object)",1,1,1
"org.apache.commons.collections4.CollectionUtils.CardinalityHelper.getFreq(Object,Map<?, Integer>)",2,2,2
"org.apache.commons.collections4.CollectionUtils.CardinalityHelper.max(Object)",1,1,1
"org.apache.commons.collections4.CollectionUtils.CardinalityHelper.min(Object)",1,1,1
"org.apache.commons.collections4.CollectionUtils.CollectionUtils()",1,1,1
"org.apache.commons.collections4.CollectionUtils.EquatorWrapper.EquatorWrapper(Equator<? super O>,O)",1,1,1
"org.apache.commons.collections4.CollectionUtils.EquatorWrapper.equals(Object)",2,1,2
"org.apache.commons.collections4.CollectionUtils.EquatorWrapper.getObject()",1,1,1
"org.apache.commons.collections4.CollectionUtils.EquatorWrapper.hashCode()",1,1,1
"org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper.SetOperationCardinalityHelper(Iterable<? extends O>,Iterable<? extends O>)",1,1,1
"org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper.iterator()",1,1,1
"org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper.list()",1,1,1
"org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper.setCardinality(O,int)",1,2,2
"org.apache.commons.collections4.CollectionUtils.addAll(Collection<C>,C...)",1,2,2
"org.apache.commons.collections4.CollectionUtils.addAll(Collection<C>,Enumeration<? extends C>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.addAll(Collection<C>,Iterable<? extends C>)",2,2,2
"org.apache.commons.collections4.CollectionUtils.addAll(Collection<C>,Iterator<? extends C>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.addIgnoreNull(Collection<T>,T)",2,2,3
"org.apache.commons.collections4.CollectionUtils.cardinality(O,Iterable<? super O>)",2,1,2
"org.apache.commons.collections4.CollectionUtils.checkIndexBounds(int)",2,1,2
"org.apache.commons.collections4.CollectionUtils.collate(Iterable<? extends O>,Iterable<? extends O>)",1,1,1
"org.apache.commons.collections4.CollectionUtils.collate(Iterable<? extends O>,Iterable<? extends O>,Comparator<? super O>)",1,1,1
"org.apache.commons.collections4.CollectionUtils.collate(Iterable<? extends O>,Iterable<? extends O>,Comparator<? super O>,boolean)",4,6,10
"org.apache.commons.collections4.CollectionUtils.collate(Iterable<? extends O>,Iterable<? extends O>,boolean)",1,1,1
"org.apache.commons.collections4.CollectionUtils.collect(Iterable<? extends I>,Transformer<? super I, ? extends O>,R)",2,2,2
"org.apache.commons.collections4.CollectionUtils.collect(Iterable<I>,Transformer<? super I, ? extends O>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.collect(Iterator<? extends I>,Transformer<? super I, ? extends O>,R)",1,3,4
"org.apache.commons.collections4.CollectionUtils.collect(Iterator<I>,Transformer<? super I, ? extends O>)",1,1,1
"org.apache.commons.collections4.CollectionUtils.containsAll(Collection<?>,Collection<?>)",7,4,8
"org.apache.commons.collections4.CollectionUtils.containsAny(Collection<?>,Collection<?>)",6,4,6
"org.apache.commons.collections4.CollectionUtils.containsAny(Collection<?>,T...)",6,4,6
"org.apache.commons.collections4.CollectionUtils.countMatches(Iterable<C>,Predicate<? super C>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.disjunction(Iterable<? extends O>,Iterable<? extends O>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.emptyCollection()",1,1,1
"org.apache.commons.collections4.CollectionUtils.emptyIfNull(Collection<T>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.exists(Iterable<C>,Predicate<? super C>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.extractSingleton(Collection<E>)",3,1,3
"org.apache.commons.collections4.CollectionUtils.filter(Iterable<T>,Predicate<? super T>)",1,4,5
"org.apache.commons.collections4.CollectionUtils.filterInverse(Iterable<T>,Predicate<? super T>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.find(Iterable<T>,Predicate<? super T>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.forAllButLastDo(Iterable<T>,C)",1,2,2
"org.apache.commons.collections4.CollectionUtils.forAllButLastDo(Iterator<T>,C)",1,2,2
"org.apache.commons.collections4.CollectionUtils.forAllDo(Iterable<T>,C)",1,2,2
"org.apache.commons.collections4.CollectionUtils.forAllDo(Iterator<T>,C)",1,2,2
"org.apache.commons.collections4.CollectionUtils.get(Iterable<T>,int)",1,1,1
"org.apache.commons.collections4.CollectionUtils.get(Iterator<T>,int)",1,1,1
"org.apache.commons.collections4.CollectionUtils.get(Map<K, V>,int)",1,1,1
